ID,Título,Data,URL,Conteúdo,Categorias,Palavras-Chaves,É Evento,Tipo do Evento,Data Início Evento,Data Fim Evento,Local do Evento,Horário do Evento,É Pago,Valor do Evento
487,Documento pede a preservação do verde: manutenção da grama e contra o cimento,17/07/2023,https://folhadecoqueiros.com.br/abaixo-assinado-pede-a-preservacao-do-verde-manutencao-da-grama-e-contra-o-cimento/,"O Conselho Local de Saúde está se mobilizando para impedir a colocação de piso de cimento ao invés de grama ao redor da horta que fica atrás do Centro de Saúde de Coqueiros. Pedido se justifica, segundo integrantes do Conselho, diante da proposta anunciada pela Secretaria de Saúde do Município, órgão responsável pelas reformas que estão sendo implementadas na instituição.
Entre as obras, está o replantio da vegetação da antiga Agrofloresta, que foi totalmente devastada no último mês de maio.
O caso foi amplamente divulgado e recebido com tristeza por usuários e servidores do Centro de Saúde que, junto com a comunidade, implantou em 2015 um projeto voltado ao cultivo de ervas medicinais, pés de frutas e a promoção de um ambiente relaxante junto à natureza.
Além da grama, também está sendo solicitada –
no documento (veja abaixo)
– a reposição do pergolado e bancos de madeira para os momentos de confraternização no local.
O abaixo-assinado está à disposição no Centro de Saúde de Coqueiros.
Matéria sobre a devastação da Agrofloresta pode ser lida no Portal da Folha de Coqueiros no link abaixo.
https://folhadecoqueiros.com.br/fotos-e-fatos-confira-os-acontecimentos-desta-terca-feira-no-bairro-de-coqueiros/",Meio Ambiente,"Coqueiros, Meio Ambiente, Sustentabilidade, Feira, Obras",FALSE,,,,,,,
488,CONVITE: Coqueiros-Luz será apresentado na AABB. Projeto cria passeio pela orla.,16/07/2023,https://folhadecoqueiros.com.br/projeto-coqueiros-luz-sera-apresentado-dia-20-na-aabb-proposta-e-implantar-um-passeio-pela-orla/,"Na próxima quinta-feira, dia 20, a partir das 19h, será apresentado um importante projeto paisagístico na sede da AABB. É o Coqueiros-Luz, um projeto de extensão do Curso de Arquitetura e Urbanismo da UFSC que tem, como principal objetivo, conectar o Parque de Coqueiros ao Parque da Luz.
Aberto ao público, o evento mostrará que, entre outras ações, o projeto pretende estimular melhorias ambientais ao Parque de Coqueiros e ao seu entorno. Entre eles, proteger as bordas d’água e criar novos espaços para pedestres e ciclistas.
A proposta é implantar um passeio – aproveitando o potencial cênico – desde a Praça da Ponta da Ilhota até a cabeceira continental da Ponte Hercílio Luz e, na sequência, conectar o Parque da Luz.
“O que nos motivou a pensar no projeto foi justamente a reabertura da Ponte Hercílio Luz, que ficou apagada da memória durante muito tempo. Planejamos, então, resgatar as áreas adjacentes e abandonadas, especialmente pela beleza paisagística em frente ao mar. Esse é o DNA do nosso trabalho”, aponta o professor Francisco Antônio Carneiro Ferreira, coordenador do projeto.
De acordo com o professor, o passeio da orla é um espaço de grande valor histórico. “Trata-se de um lugar em que nos reconhecemos, em que vivemos experiências históricas do cotidiano ou de situações excepcionais como as travessias de barco do Continente à Ilha, e a construção da Ponte Hercílio Luz, o nosso mais importante monumento tombado pelo patrimônio histórico. Por isso justifica-se o desbloqueio das margens da beira-mar”, aponta Francisco Ferreira.",Infraestrutura e Mobilidade,"Coqueiros, Continente, UFSC, AABB, Infraestrutura",TRUE,"Educação, Palestras e Oficinas",20/07/2023,,Parque de Coqueiros,19:00,FALSE,"R$0,00"
489,Abrigo de ônibus da Praia de Itaguaçu que desabou com o ciclone já está no lugar.,16/07/2023,https://folhadecoqueiros.com.br/abrigo-de-onibus-da-praia-de-itaguacu-que-desabou-com-o-ciclone-ja-esta-no-lugar/,"Desde sexta-feira, os moradores da Praia de Itaguaçu já podem aguardar o transporte coletivo com segurança: foi reformado o abrigo que despencou com o ciclone extratropical.
Obrigada ao superintendente de Transporte e Mobilidade da Capital, Valci Brasil que atendeu de imediato a
Associação de Moradores de Coqueiros
.",Infraestrutura e Mobilidade,"Coqueiros, Itaguaçu, Infraestrutura, Mobilidade, Feira",FALSE,,,,,,,
490,Prefeito escuta a comunidade e anuncia ações imediatas e projetos futuros.,14/07/2023,https://folhadecoqueiros.com.br/prefeito-escuta-a-comunidade-e-anuncia-acoes-imediatas-e-projetos-futuros/,"O salão da Casa de Cultura da AABB, em Coqueiros, ficou lotado na noite desta quinta-feira, dia 13. Mais de 70 pessoas, entre moradores do Continente, representantes de associações de bairros, secretários, vereadores, jornalistas, empresários e educadores, participaram da reunião mensal do Conselho de Segurança da região de Coqueiros que convidou, dessa vez, o prefeito Topázio Neto para dialogar com a comunidade.
Depois de escutar as reivindicações elencadas pelos presentes, o prefeito respondeu a cada uma delas, anunciou melhorias para a região Continental, e adiantou que, a partir do mês de agosto, irá transferir o seu gabinete para a Secretaria do Continente. A proposta, segundo Topázio Neto, é dar expediente durante quatro dias da semana – de segunda quinta-feira – para ouvir as demandas das associações de moradores da região.
“Vamos traçar uma agenda e definir prioridades. Precisamos saber como a comunidade de cada bairro pode ajudar nas melhorias do município, pois é ela que vive o dia-a-dia do local”, disse o prefeito.
Presidente da Pró-Coqueiros, Sibyla Loureiro, entrega ofício ao prefeito com demandas do bairro.
Participaram da reunião
: associações dos bairros Abraão, Bom Abrigo, Coqueiros, Capoeiras e Amobici; representantes do Cefid/Udesc; da UFSC; da Associação da Praia do Riso; dos Núcleos do Conseg de Mobilidade; de Meio Ambiente; Plano Diretor e de Saúde; presidente e diretor da AABB; representantes das polícias Civil, Militar e Guarda Municipal, além de secretários e servidores da Prefeitura de
Florianópolis.
Roberto Vaz entrega ao prefeito abaixo-assinado e projeto de praça em área de frente ao Trintão
.
CONFIRA AS PRINCIPAIS AÇÕES ANUNCIADAS PELO PREFEITO.
Projeto para revitalizar
as Avenidas Engenheiro Max de Souza e Desembargador Pedro Silva, incluindo melhorias das calçadas, velocidade no trânsito, iluminação de led, ciclofaixas. Prefeito denominou o Projeto de “um grande calçadaço”.
Retorno do Se liga Na Rede
nos bairros Bom Abrigo e Abraão por conta dos esgotos lançados na praia.
Retorno
de duas linhas circulares, que estavam desativadas desde a pandemia:  a 601, Abraão-Estreito e a 605, Estreito – Abraão.
Instalação de 2 mil câmeras
de monitoramento em 500 pontos da cidade.
Conclusão do Deque da Praia da Saudade:
obra já foi orçada em R$ 700 mil. Projeto previa, no trecho aberto, um espaço para uso de barcos de pesca, o que não vai mais acontecer.
Criação de uma casa
de acolhimento para PSR (Pessoas em Situação de Rua) no Continente. Prefeito pediu aos moradores indicar um local.
Iluminação pública
será 100% de led no Continente.
Fotos: Paulo Capocci",Infraestrutura e Mobilidade,"Coqueiros, Florianópolis, Pró-Coqueiros, Prefeitura, Infraestrutura",FALSE,,,,,,,
491,"Ponto de ônibus na Praia de Itaguaçu, em Coqueiros, desaba com o vento forte.",13/07/2023,https://folhadecoqueiros.com.br/ponto-de-onibus-na-praia-de-itaguacu-desaba-com-o-vento-forte/,"Ciclone extratropical deixou rastros na orla de Coqueiros. Na Praia de Itaguaçu, o ponto de ônibus não resistiu ao vento forte e acabou caindo. De acordo com moradores, a base de fixação já estava corroída pela maresia.
Seguem as fotos tiradas nesta quinta-feira, dia 13, pelo fotógrafo Paulo Capocci.",Infraestrutura e Mobilidade,"Coqueiros, Itaguaçu, Infraestrutura, Mobilidade, Feira",FALSE,,,,,,,
492,Prefeito vai ouvir a comunidade: Topázio Neto participa da reunião do Conseg.,11/07/2023,https://folhadecoqueiros.com.br/prefeito-vai-ouvir-a-comunidade-topazio-neto-participa-da-reuniao-do-conseg-nesta-quinta-feira/,"Reunião na Casa da Cultura na AABB de Coqueiros em 29 de março
:
Foto: Arquivo Folha de Coqueiros
.
O Conselho de Segurança de Coqueiros (Conseg 31), em conjunto com associações de bairros da região, promove nesta quinta-feira, dia 13, a sua tradicional reunião. Desta vez, no entanto, recebe um convidado especial: o prefeito de Florianópolis Topázio Neto. De acordo com a presidente do Conseg, Elaine Otto, o convite tem como proposta estabelecer um diálogo com o chefe do Executivo Municipal no intuito de a comunidade participar, também, dos assuntos de interesse da região.
Confira o convite abaixo
.
Para tanto, as entidades comunitárias dos bairros Coqueiros, Bom Abrigo, Abraão, Capoeiras, Estreito, além da Amobici (Associação Mobilidade por Bicicleta e Modos Sustentáveis) vão apresentar suas demandas ao prefeito na tentativa de colaborar com a prefeitura em resolver as prioridades locais.
“Lutar por melhorias sempre foi uma característica nossa. Os moradores da região sempre deram uma lição de cidadania e preocupação com o meio ambiente, com a racional ocupação do solo, com a mobilidade urbana e com questões que afetam o dia a dia da comunidade”, aponta a presidente do Conseg, ao destacar o exemplo do Parque de Coqueiros, erguido com a mobilização da comunidade.
CONSEG COMPLETA 22 ANOS
Também cabe destacar, aqui, uma das características do Conselho de Segurança nesses 22 anos de trabalho: abrir espaço em suas reuniões para debater assuntos que interessam aos moradores. Secretários de governo, diretores de órgãos públicos e outras autoridades tiveram, a convite do Conseg, a possibilidade de expor suas opiniões e explicar as medidas que estavam sendo adotadas e o impacto delas na comunidade.
O Conseg foi criado em novembro de 2001, depois da mobilização dos moradores dos bairros Coqueiros, Itaguaçu, Bom Abrigo, Abraão e comunidade da Vila Aparecida entregarem um abaixo-assinado exigindo “Mais segurança” ao ex-governador Esperidião Amin.
Como resultado dessa ação, elegeu-se a primeira diretoria em 30 de janeiro de 2002 e oficializada em 14 de maio do mesmo ano. À frente da entidade, estava o morador do Bom Abrigo, Luiz Fernando Balsini – eleito presidente por aclamação.
De lá prá cá, o conselho se consolidou como um dos Consegs mais atuantes da Capital. Ao longo deste período já contabilizaram os seguintes presidentes: além de Balsini, os saudosos Hylas Barros e Thiers da Cunha Marques; Edu Caldeira Antunes, Marcos Pinar, Sibyla Loureiro e Elaine Otto. Pessoas que – voluntariamente e sem nenhum rendimento – resolveram trabalhar em prol de nossa região.
SERVIÇO
Reunião Conseg 31 e Entidades Comunitárias
Dia:
13/07 – quinta-feira
Local:
Casa de Cultura da AABB de Coqueiros
Horário:
19h30
Estacionamento:
gratuito aos participantes
Autoridades convidadas
: prefeito Topázio Neto; delegado Márcio Fortkamp; secretário de Segurança Municipal Araújo Gomes; comandante do 22º BPM Major Clarissa Soares; secretário do Continente, Guilherme Pereira.",Comunidade e Sociedade,"Coqueiros, Florianópolis, Prefeitura, Conseg, Comunidade",TRUE,Reuniões e Gestão Comunitária,13/07/2023,,Parque de Coqueiros,19:30,FALSE,"R$0,00"
493,Passagem de um ciclone vai provocar ventos fortes e ressaca no litoral sul.,10/07/2023,https://folhadecoqueiros.com.br/passagem-de-um-ciclone-vai-provocar-ventos-fortes-e-ressaca-no-litoral/,"A Marinha do Brasil informa que a passagem de um ciclone extratropical poderá afetar a faixa litorânea dos estados do Rio Grande do Sul e de Santa Catarina, entre Chuí (RS) e Laguna (SC), com ventos de direção Sudeste a Nordeste, com intensidade de até 100 km/h, e, posteriormente, de direção Noroeste a Sudoeste, com intensidade de até 115 km/h, entre a manhã do dia 12 e a noite do dia 13 de julho.
O referido ciclone poderá provocar ressaca, com ondas de direção Sudeste a Leste e altura de até 4,5 metros, na mesma região, entre as noites dos dias 12 e 14 de julho.
O mesmo sistema poderá afetar a faixa litorânea entre os estados de Santa Catarina e de São Paulo, de Laguna (SC) a São Sebastião (SP), com ventos de direção Noroeste a Sudoeste e intensidade de até 100 km/h, entre a noite do dia 12 e a manhã do dia 14 de julho.
As informações meteorológicas podem ser visualizadas na página do ServiçoMeteorológico Marinho no Facebook, no link:
https://www.facebook.com/servicometeorologicomb/
ou por meio dos aplicativos “Previsão Ambiental Marinha (PAM)” e “Boletim ao Mar”, desenvolvidos em parceria com a Petrobras e com o Instituto Rumo ao Mar (RUMAR), respectivamente. Os aplicativos estão disponíveis para download nos smartphones e tablets com sistemas Android e iOS.
A Marinha alerta aos navegantes para que consultem essas informações antes de entrar no mar e pede ampla divulgação às comunidades de pesca e esporte e recreio.",Meio Ambiente,"Meio Ambiente, Sustentabilidade, Obras",FALSE,,,,,,,
494,"PROGRAME-SE: Sábado, dia 8, tem festa Julina na AABB de Coqueiros, a partir das 15h.",07/07/2023,https://folhadecoqueiros.com.br/programe-se-sabado-tem-festa-julina-na-aabb-de-coqueiros/,"Neste sábado, dia 8, a AABB de Coqueiros promove uma festa Julina no Ginásio de Esportes da Associação. Aberto ao público, o evento começa as 15h e segue até as 22h.
Várias atrações estão programadas, além da recheada gastronomia: pinhão, quentão, cachorro-quente, crepe, doces e espetinho.
Sócio não paga e não sócios pagam R$ 10,00.
Confira as atrações
DJ para animar a Festa e Brincadeiras
*Touro Mecânico;
*Giro radical – inflável;
*Piscina de Bolinha;
*Corrida do Saco;
*Cabo de Guerra;
*Cama elástica;
*Corrida de 3 pernas;
*Dança da cadeira;
*Traves pequenas para Futebol;
*Mini-quadra de Vôlei;
*Morto/Vivo;
*E muito mais!",Esportes,"Coqueiros, AABB, Esporte, Atividade Física, Festa",TRUE,Festas e Celebrações,08/07/2023,,AABB,15:00,TRUE,"R$10,00"
495,"Via Gastronômica de Coqueiros ganha um novo restaurante: o Raízes, na Praia do Meio.",07/07/2023,https://folhadecoqueiros.com.br/via-gastronomica-de-coqueiros-ganha-um-novo-restaurante-o-raizes-na-praia-do-meio/,"Coqueiros tem um novo endereço gastronômico. É o Restaurante Raízes, que acaba de inaugurar na Praia do Meio. Na bagagem, mais de 30 anos de história na Praia de Palmas, que fica em Governador Celso Ramos. “Sempre tivemos um sonho de expandir os negócios aqui em Coqueiros”, diz o proprietário Guilherme Machado Sagás.
Guilherme e a mãe Josiane estão à frente dos trabalhos da casa que tem, como diferencial, atender à clientela após o horário habitual do almoço. “Se o restaurante está aberto, por que não servir as 14h, as 15h e assim por diante de acordo com a preferência e necessidades dos clientes”, indaga a chef Jo, como é mais conhecida.
Responsável pelo menu, Jo diz que a proposta da casa é preparar comidas tradicionais do “manezinho”. E, assim, valorizar a terra. E não só na gastronomia, mas também na decoração, desde a cor verde do ambiente até os quadros com destaque para a atividade pesqueira.
Como carro-chefe, a especialidade do restaurante são os frutos do mar. Mas no menu, que reúne 56 opções, também figuram massas e carnes bovinas de corte especial como filé mignon e entrecot.
Como sugestão, fica aqui uma dica da Folha de Coqueiros que esteve visitando o restaurante:
De entrada
, caldinho de siri e peixe da lata, os dois pratos acompanhados de pão com fermentação natural.
De sobremesa
, sorvete de manjericão com calda de frutas vermelhas.
SERVIÇO
Horário:
de segunda a sábado das 11h30 às 23h e domingo das 11h30 às 16h
Endereço:
Desembargador Pedro Silva, 2314, Coqueiros.
Capacidade:
180 pessoas.
Eventos:
aceita eventos fechados.
Estacionamento
exclusivo
Fotos: Elaine Otto",Economia e Negócios,"Coqueiros, Praia do Meio, Economia, Comércio",FALSE,,,,,,,
496,Combo meteorológico pode fazer embarcações encalharem em Santa Catarina.,05/07/2023,https://folhadecoqueiros.com.br/combo-meteorologico-pode-fazer-embarcacoes-encalharem-em-santa-catarina-diz-a-epagri/,"Maré baixa nas praias de Coqueiros
.
Foto Moacir Reis Vieira
A Epagri/SC (Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina) divulgou nesta quarta-feira, dia 5, as alterações marítimas no Estado pela influência de um combo meteorológico.
De acordo com a pasta, a maré vai ficar tão baixa que é possível que embarcações encalhem. O fenômeno, segundo a Epagri, é provocado pela persistência do vento do quadrante nordeste associado ao centro de alta pressão no oceano Atlântico Sul. Há ainda influência da lua cheia (maré de sizígia).
Os fatores combinados provocam o afastamento das águas do mar da costa, para o oceano aberto, resultando na maré seca.
A Epagri recomenda que a população tome cuidado com os horários de alerta e nos locais próximos a desembocaduras de rios. Isto porque a maré seca dificulta a entrada e saída de embarcações, podendo resultar em encalhes.
Confira o horário na Capital:
Florianópolis
– 6/7 – 12h06;
Veja as outras cidades:
São Francisco do Sul
– 5/7 – 21h06 e 6/7 – 10h21 e às 21h38;
Barra do Sul –
5/7 – 20h31 e 6/7 – 01h55, 13h06 e 21h04;
Barra Velha
– 6/7 – 12h38;
Joinville
– 5/7 – 22h02 e 6/7 – 11h02 e às 22h44;
Itajaí –
5/7 – 20h23 e 6/7 – 01h51, 12h29 e 21h01;
Balneário Cambori
ú -6/7 – 01h47, 12h16 e 21h02;
Imbituba
– 6/7 – 11h34;
Balneário Rincão
– 6/7 – 11h27;
Passo de Torres
– 6/7 – 06h04 e 11h23.",Comunidade e Sociedade,"Coqueiros, Florianópolis, Comunidade, Sociedade, Feira",FALSE,,,,,,,
497,Atraso nas obras de revitalização do Parque de Coqueiros é tema de matéria na NSC TV.,04/07/2023,https://folhadecoqueiros.com.br/atraso-nas-obras-do-parque-de-coqueiros-e-tema-de-materia-na-nsc-tv/,"Previsão para inaugurar a revitalização da área era março desse ano, agora ficou para setembro.
A revitalização do Parque de Coqueiros foi matéria nesta terça-feira, dia 4 de julho, do Jornal do Almoço da NSC TV. O gancho, certamente, foi o atraso nas obras que iniciaram em outubro do ano passado – quando o prefeito Topázio Neto assinou a ordem de serviço. Durante o evento, que culminou com as comemorações do Outubro Rosa, o prefeito anunciou a inauguração da reforma do Parque para o  aniversário de 350 anos de Florianópolis, em março de 2023.
Passados três meses, as obras ainda estão em pleno funcionamento e uma nova data foi anunciada pelo secretário da Infraestrutura,
Rafael Hahne: setembro de 2023.
Segundo o secretário, em entrevista à repórter da NSC TV, além das chuvas que atrapalharam o andamento das obras, o processo de aterramento e drenagem do terreno impactaram o fluxo dos trabalhos.
“A prefeitura previu – no projeto – drenagens complementares às já existentes. Mas, ao contrário, foi identificada a existência de drenagens antigas que não estavam funcionando. Por isso, não foi possível fazer a limpeza e a manutenção com o caminhão de hidrojato. Sendo assim, tivemos que refazer alguns trechos para garantir o bom funcionamento do sistema naquela área”, justifica o secretário.
Para alguns moradores, a obra parece não ter fim e uma das causas apontadas é o número insuficiente de funcionários para atender uma área tão extensa que é a do Parque de Coqueiros: 35.288 m2 de área total. O investimento é de quase R$ 5 milhões.
De acordo com o vice-presidente da Associação de Moradores de Coqueiros – Pró-Coqueiros – Rodrigo Kiko Bungus, a obra começou de maneira errada: antes do verão, pois o parque é uma das áreas mais frequentada da cidade. Segundo Kiko, para o trabalho fluir, também seria necessária a colocação de mais funcionários no canteiro de obras. Do contrário, o novo cronograma não será cumprido.
Conheça o projeto em matéria publicada na Folha de Coqueiros em outubro de 2022.
https://folhadecoqueiros.com.br/assinada-neste-sabado-dia-8-a-ordem-de-servico-para-revitalizacao-do-parque-de-coqueiros/
Assista ao vídeo da matéria do programa Jornal do Almoço da NSCTV
.
https://globoplay.globo.com/v/11753593/",Infraestrutura e Mobilidade,"Coqueiros, Florianópolis, Pró-Coqueiros, Prefeitura, Infraestrutura",FALSE,,,,,,,
498,Prefeito assina decreto e reativa a Pró-Bici. Evento prevê melhorias na estrutura cicloviária.,30/06/2023,https://folhadecoqueiros.com.br/prefeito-assina-decreto-e-reativa-a-pro-bici-evento-preve-melhorias-na-estrutura-cicloviaria-da-capital/,"Integrante do Núcleo Mobilidade do Conselho de Segurança de Coqueiros, a professora Ana Destri, participou nesta quinta-feira, dia 29, da assinatura do decreto que reativa a Comissão Municipal de Mobilidade Urbana por Bicicleta, a Pró-Bici (
Confira o decreto
). O grupo vai reunir representantes da prefeitura e da sociedade civil com enfoque na estrutura cicloviária da Capital.
Ana Destri, ao lado do prefeito Topázio e secretário Michel Mittmann, representando a Amobici
Além desse decreto, o prefeito Topázio Neto também lançou a primeira edição do manual de projeto e execução de obras:  um guia para a instalação de novas ciclovias, ciclofaixas, ciclorrotas e espaços compartilhados.
Prefeito assina decreto reativando a Pró-Bici. Secretário Rafael Rhane e comandante Brasil observando.
Ana, como diretora administrativa, representou a Amobici (Associação Mobilidade por Bicicleta e Modos Sustentáveis), e o Bicicleta na Escola, projeto criado por ela e que foi recebido com simpatia por todos os representantes dos coletivos de pedais como também pela Prefeitura de Florianópolis.
“Será que está configurando uma parceria?”, questiona Ana Destri, depois de o prefeito elogiar a sua proposta, especialmente por ser servidora municipal. Ana é professora de Educação Física no Neim Coqueiros.
Fotos Pedro Perez/PMF
Confira o decreto:",Infraestrutura e Mobilidade,"Coqueiros, Florianópolis, Prefeitura, Infraestrutura, Mobilidade",FALSE,,,,,,,
499,Passageiros do transporte coletivo podem embarcar em ônibus fora do ponto após as 22h.,30/06/2023,https://folhadecoqueiros.com.br/passageiros-do-transporte-coletivo-podem-embarcar-em-onibus-fora-do-ponto-apos-as-22h/,"Os passageiros do transporte coletivo de Florianópolis podem embarcar nos ônibus ou desembarcar em qualquer ponto do seu trajeto após as 22h. A medida vai até as 6h da manhã de todos os dias. Um decreto assinado nesta quinta-feira (29), pelo prefeito Topázio Neto, regulamenta uma lei vigente desde 2014. Apesar de antiga, a lei trazia dúvidas sobre alguns pontos, como se a medida valeria tanto para embarque quanto para desembarque.
De acordo com o prefeito da Capital, a facilidade é para garantir, principalmente, a segurança dos passageiros. “Não é comum termos casos de violência em pontos de ônibus da cidade, mas sabemos que na madrugada as pessoas se sentem mais inseguras, principalmente em um local sem movimento. Por isso é importante todos saberem que podem esperar seu ônibus em um local que se sentir mais seguro dentro do trajeto”, explicou Topázio.
O decreto vale para todos os ônibus do transporte coletivo convencional de Florianópolis. Atualmente, os executivos já são autorizados a pararem em qualquer local do trajeto a qualquer horário.",Infraestrutura e Mobilidade,"Florianópolis, Infraestrutura, Mobilidade, Feira",FALSE,,,,,,,
